notebook_name,source_table,source_type,destination_table,destination_type
./dw_card/dw_account_gl_fct.ipynb,bo_opr_operation (vc_cms.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,bo_opr_participant (vc_cms.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,bo_acc_account (vc_cms.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,dwa_appl_gl_object_mapping_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,bo_prd_contract (vc_cms.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,dw_customer_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,dw_application_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,dw_card_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,bo_com_dictionary (vc_cms.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,bo_com_i18n (vc_cms.db),PARQUET,,
./dw_card/dw_account_gl_fct.ipynb,bo_crd_debt (vc_cms.db),PARQUET,,
./dw_card/dwa_app_object_mapping.ipynb,bo_app_application (vc_cms.db),PARQUET,dwa_appl_gl_object_mapping_dim (vc_data_dwh.db),PARQUET
./dw_card/dwa_app_object_mapping.ipynb,bo_app_object (vc_cms.db),PARQUET,,
./dw_card/dwa_app_object_mapping.ipynb,f1_loan_application (vc_los_cas.db),PARQUET,,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acc_account (vc_cms.db),PARQUET,batch_collection_tag_txn_data (vc_data_dwh.db),PARQUET
./dw_card/batch_collection_tag_txn_data.ipynb,bo_crd_payment (vc_cms.db),PARQUET,,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_opr_operation (vc_cms.db),PARQUET,,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_acq_merchant (vc_cms.db),PARQUET,,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_prd_customer (vc_cms.db),PARQUET,,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,,
./dw_card/batch_collection_tag_txn_data.ipynb,bo_crd_debt (vc_cms.db),PARQUET,,
./dw_card/dw_product_dim.ipynb,bo_prd_attribute (vc_cms.db),PARQUET,dw_product_dim (vc_data_dwh.db),PARQUET
./dw_card/dw_product_dim.ipynb,bo_prd_attribute_value (vc_cms.db),PARQUET,,
./dw_card/dw_product_dim.ipynb,bo_prd_product (vc_cms.db),PARQUET,,
./dw_card/dw_product_dim.ipynb,bo_prd_product_service (vc_cms.db),PARQUET,,
./dw_card/dw_product_dim.ipynb,bo_fcl_fee (vc_cms.db),PARQUET,,
./dw_card/dw_product_dim.ipynb,bo_fcl_fee_tier (vc_cms.db),PARQUET,,
./dw_card/dw_product_dim.ipynb,bo_rul_mod (vc_cms.db),PARQUET,,
./dw_card/dw_account_balance_fct_merge.ipynb,bo_acc_balance (vc_cms.db),PARQUET,,
./dw_card/dw_account_balance_fct_merge.ipynb,bo_acc_account (vc_cms.db),PARQUET,,
./dw_card/dw_account_balance_fct_merge.ipynb,bo_crd_debt (vc_cms.db),PARQUET,,
./dw_card/dw_account_balance_fct_merge.ipynb,bo_crd_debt_balance (vc_cms.db),PARQUET,,
./dw_card/dw_account_balance_fct_merge.ipynb,dw_account_balance_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_term_fct_prc_bk.ipynb,,,dw_account_term_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_card_status_fct.ipynb,bo_evt_status_log (vc_cms.db),PARQUET,dw_card_instance_status_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_card_status_fct.ipynb,bo_iss_card_instance (vc_cms.db),PARQUET,dw_card_state_fct (vc_data_dwh.db),PARQUET
./dw_card/rls_balance_type_prc.ipynb,bo_com_dictionary (vc_cms.db),PARQUET,rls_balance_type (vc_data_dwh.db),PARQUET
./dw_card/rls_balance_type_prc.ipynb,bo_com_i18n (vc_cms.db),PARQUET,,
./dw_card/rls_balance_type_prc.ipynb,rls_balance_type_raw (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_transaction_fct.ipynb,dw_application_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_transaction_fct.ipynb,dw_card_transaction_fct_before_merge (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_transaction_fct.ipynb,dwa_appl_gl_object_mapping_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_transaction_fct.ipynb,bo_crd_debt (vc_cms.db),PARQUET,,
./dw_card/dw_card_transaction_fct.ipynb,bo_crd_invoice_debt (vc_cms.db),PARQUET,,
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,bo_com_flexible_data (vc_cms.db),PARQUET,dw_card_invoice_eod_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,bo_acc_account (vc_cms.db),PARQUET,dw_card_invoice_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,bo_acc_balance (vc_cms.db),PARQUET,,
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,bo_crd_invoice (vc_cms.db),PARQUET,,
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,dw_card_invoice_fct_merge_eod (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,dw_account_dim (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,pro_acc_daily_mad (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_invoice_fct_merge_eod.ipynb,pro_acc_event (vc_data_dwh.db),PARQUET,,
./dw_card/dw_gl_fct_prc.ipynb,,,dw_gl_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_cus_cid_data_stg_prc.ipynb,ptal_cus_chipiddata (vc_osystem.db),PARQUET,dw_cus_cid_data_stg (vc_data_dwh.db),PARQUET
./dw_card/dw_cus_cid_data_stg_prc.ipynb,ma_loanapplication (vc_osystem.db),PARQUET,,
./dw_card/dw_cus_cid_data_stg_prc.ipynb,ma_profile (vc_osystem.db),PARQUET,,
./dw_card/dw_cus_cid_data_stg_prc.ipynb,ma_fcmsubscription (vc_osystem.db),PARQUET,,
./dw_card/dw_card_dim.ipynb,dwa_fe_card_status_tmp (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_dim.ipynb,dwa_first_transaction_date_of_card_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_dim.ipynb,dw_card_dim_merge_1 (vc_data_dwh.db),PARQUET,,
./dw_card/dw_card_dim.ipynb,bo_acc_account_object (vc_cms.db),PARQUET,,
./dw_card/dw_card_dim.ipynb,bo_iss_card (vc_cms.db),PARQUET,,
./dw_card/dw_card_dim.ipynb,bo_iss_card_number (vc_cms.db),PARQUET,,
./dw_card/dw_card_dim.ipynb,dwa_card_active_date_fct (vc_data_dwh.db),PARQUET,,
./dw_card/dw_account_balance_fct.ipynb,,,dw_account_balance_fct (vc_data_dwh.db),PARQUET
./dw_card/dw_customer_identification_dim.ipynb,dw_customer_dim (vc_data_dwh.db),PARQUET,dw_customer_identification_dim (vc_data_dwh.db),PARQUET
